Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,E3,FALSE,CRII2020_FWC_AcCM5,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.98997944593429565,0.0012872189981862903,77.250953674316406,,,,Y,Y,N,N,N,Y
52,E4,FALSE,CRII2020_FWC_AcCM5,Acer,UNKNOWN,SYBR,None,19.288135528564453,19.526924133300781,0.3376980721950531,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.33208051183954035,4.2799820899963379,3.8201704025268555,75.334373474121094,,,,Y,N,N,N,N,N
53,E5,FALSE,CRII2020_FWC_AcCM5,A,UNKNOWN,SYBR,None,21.251375198364258,21.052379608154297,0.28142091631889343,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.39128598680044896,4.242222785949707,3.823883056640625,87.571022033691406,,,,Y,N,N,N,N,N
54,E6,FALSE,CRII2020_FWC_AcCM5,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0123468637466431,-0.005123799666762352,75.186943054199219,,,,Y,Y,N,N,N,Y
55,E7,FALSE,CRII2020_FWC_AcCM6,Acer,UNKNOWN,SYBR,None,19.654487609863281,19.870529174804688,0.3055289089679718,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.40331786143319709,3.9049623012542725,3.4688692092895508,75.186943054199219,,,,Y,N,N,N,N,N
56,E8,FALSE,CRII2020_FWC_AcCM6,A,UNKNOWN,SYBR,None,20.937665939331055,21.284439086914062,0.49041128158569336,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.3484383363118288,4.4867238998413086,4.0378975868225098,87.718452453613281,,,,Y,N,N,N,N,N
57,E9,FALSE,CRII2020_FWC_AcCM6,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.005693793296814,-0.001604895107448101,77.545814514160156,,,,Y,Y,N,N,N,Y
58,E10,FALSE,CRII2020_FWC_AcCM6,Acer,UNKNOWN,SYBR,None,20.086570739746094,19.870529174804688,0.3055289089679718,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.47193709033587244,4.1206092834472656,3.6490330696105957,75.186943054199219,,,,Y,N,N,N,N,N
59,E11,FALSE,CRII2020_FWC_AcCM6,A,UNKNOWN,SYBR,None,21.63121223449707,21.284439086914062,0.49041128158569336,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.34648616549380146,4.3169193267822266,3.8872115612030029,87.571022033691406,,,,Y,N,N,N,N,N
60,E12,FALSE,CRII2020_FWC_AcCM6,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,25,No Amp,,0,3.29298996925354,-0.0056010573171079159,60.001701354980469,,,,Y,N,N,N,N,N
61,F1,FALSE,CRII2020_FWC_AcCU007,Acer,UNKNOWN,SYBR,None,19.859146118164062,20.038663864135742,0.25387641787528992,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.35070038291198535,4.325078010559082,3.8785636425018311,75.039512634277344,,,,Y,N,N,N,N,N
62,F2,FALSE,CRII2020_FWC_AcCU007,A,UNKNOWN,SYBR,None,22.825376510620117,22.623411178588867,0.28562211990356445,,,,,,,,FALSE,0.01,TRUE,3,22,Amp,,0.33428961860659795,4.5484671592712402,4.1140661239624023,87.571022033691406,,,,Y,N,N,N,N,N
63,F3,FALSE,CRII2020_FWC_AcCU007,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0201535224914551,-0.0040976656600832939,76.071517944335938,,,,Y,Y,N,N,N,Y
64,F4,FALSE,CRII2020_FWC_AcCU007,Acer,UNKNOWN,SYBR,None,20.218181610107422,20.038663864135742,0.25387641787528992,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.42518433012768098,4.3667092323303223,3.8928313255310059,75.334373474121094,,,,Y,N,N,N,N,N
65,F5,FALSE,CRII2020_FWC_AcCU007,A,UNKNOWN,SYBR,None,22.421445846557617,22.623411178588867,0.28562211990356445,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.31768730563429926,4.3769822120666504,3.9678909778594971,87.571022033691406,,,,Y,N,N,N,N,N
66,F6,FALSE,CRII2020_FWC_AcCU007,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0118880271911621,-0.002842653077095747,76.218948364257812,,,,Y,Y,N,N,N,Y
67,F7,FALSE,CRII2020_FWC_AcFM5,Acer,UNKNOWN,SYBR,None,18.259078979492188,18.134933471679688,0.17556826770305634,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.50692909988271129,4.1253371238708496,3.6434130668640137,75.334373474121094,,,,Y,N,N,N,N,N
68,F8,FALSE,CRII2020_FWC_AcFM5,A,UNKNOWN,SYBR,None,20.28436279296875,20.456504821777344,0.243446946144104,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.42333187230759017,4.4001603126525879,3.9720287322998047,87.718452453613281,,,,Y,N,N,N,N,N
69,F9,FALSE,CRII2020_FWC_AcFM5,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.98084086179733276,-0.0022269983310252428,77.545814514160156,,,,Y,Y,N,N,N,Y
70,F10,FALSE,CRII2020_FWC_AcFM5,Acer,UNKNOWN,SYBR,None,18.010787963867188,18.134933471679688,0.17556826770305634,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.4205801451004042,4.2640771865844727,3.7869298458099365,75.334373474121094,,,,Y,N,N,N,N,N
